threshold,market_YES_now,market_rate/yr,empirical_rate/yr,emp_CI_lo,emp_CI_hi,model_brown2002_rate/yr,model_fair_YES_now,verdict
5 kt,0.29,0.7147,0.7895,0.5327,1.127,0.8692,0.3863,market UNDERprices vs model
10 kt,0.125,0.2916,0.3158,0.1632,0.5516,0.4658,0.2302,market UNDERprices vs model
100 kt,0.062,0.0726,0.0263,0.0007,0.1466,0.0586,0.0324,market OVERprices vs model
1 Mt,0.03,0.0356,0.0,0.0,0.0971,0.0074,0.0041,market OVERprices vs model
